# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       393      196.500       307.31      0.07590907  -1313.10893670  -1313.03302763
       394      197.000       310.38      0.07666687  -1313.10898517  -1313.03231830
       395      197.500       275.98      0.06816973  -1313.11010937  -1313.04193964
       396      198.000       297.46      0.07347592  -1313.10948079  -1313.03600487
       397      198.500       321.39      0.07938574  -1313.10891268  -1313.02952694
       398      199.000       296.05      0.07312673  -1313.10833654  -1313.03520981
       399      199.500       238.95      0.05902401  -1313.10744149  -1313.04841749
       400      200.000       324.11      0.08005837  -1313.10854042  -1313.02848205
       401      200.500       317.93      0.07853298  -1313.10878987  -1313.03025689
       402      201.000       264.63      0.06536628  -1313.11010825  -1313.04474197
       403      201.500       331.54      0.08189443  -1313.11045066  -1313.02855622
       404      202.000       202.38      0.04999004  -1313.10967063  -1313.05968059
       405      202.500       256.22      0.06328835  -1313.11006114  -1313.04677279
       406      203.000       320.43      0.07914906  -1313.11025853  -1313.03110947
       407      203.500       334.13      0.08253474  -1313.11125722  -1313.02872249
       408      204.000       349.03      0.08621363  -1313.11113379  -1313.02492016
       409      204.500       260.72      0.06440037  -1313.11101852  -1313.04661815
       410      205.000       280.59      0.06930821  -1313.10994023  -1313.04063203
