# MD Simulation - NVT Ensemble
# Timestep: 0.5 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       291      145.500      1495.56      0.10656326   -234.50072420   -234.39416094
       292      146.000      1936.01      0.13794736   -234.49384710   -234.35589973
       293      146.500      1989.18      0.14173579   -234.50362852   -234.36189273
       294      147.000      1892.43      0.13484165   -234.50389280   -234.36905115
       295      147.500      1547.68      0.11027698   -234.50411632   -234.39383933
       296      148.000      2455.30      0.17494777   -234.50294690   -234.32799914
       297      148.500      2290.65      0.16321643   -234.49986197   -234.33664555
       298      149.000      2450.63      0.17461506   -234.49881920   -234.32420413
       299      149.500      2489.68      0.17739783   -234.49935596   -234.32195813
       300      150.000      2428.59      0.17304491   -234.50077971   -234.32773479
       301      150.500      2217.84      0.15802860   -234.50010965   -234.34208105
       302      151.000      2296.85      0.16365832   -234.50005534   -234.33639702
       303      151.500      1739.31      0.12393162   -234.49840632   -234.37447470
       304      152.000      1652.08      0.11771610   -234.49976379   -234.38204769
       305      152.500      2423.78      0.17270208   -234.49967248   -234.32697040
       306      153.000      1638.23      0.11672892   -234.50246637   -234.38573745
       307      153.500      2374.50      0.16919072   -234.50190419   -234.33271347
       308      154.000      2182.75      0.15552828   -234.50098665   -234.34545837
       309      154.500      2639.27      0.18805673   -234.50261876   -234.31456203
       310      155.000      1375.42      0.09800290   -234.50359661   -234.40559370
       311      155.500      2341.11      0.16681148   -234.50491354   -234.33810207
       312      156.000      1994.19      0.14209219   -234.50212403   -234.36003184
       313      156.500      2083.21      0.14843564   -234.49745227   -234.34901664
       314      157.000      2021.58      0.14404400   -234.50177953   -234.35773552
       315      157.500      2113.89      0.15062152   -234.49894846   -234.34832694
       316      158.000      1731.85      0.12339967   -234.49842277   -234.37502311
       317      158.500      2478.24      0.17658266   -234.50203223   -234.32544957
       318      159.000      1687.33      0.12022799   -234.49866950   -234.37844151
       319      159.500      2468.28      0.17587318   -234.50015780   -234.32428462
       320      160.000      1984.45      0.14139831   -234.49934407   -234.35794576
       321      160.500      2218.94      0.15810643   -234.50130946   -234.34320303
       322      161.000      2481.79      0.17683533   -234.50260288   -234.32576755
       323      161.500      1395.29      0.09941900   -234.49841151   -234.39899250
       324      162.000      2221.22      0.15826931   -234.50104339   -234.34277408
       325      162.500      2064.29      0.14708705   -234.50111105   -234.35402400
       326      163.000      1909.94      0.13608965   -234.49852422   -234.36243458
       327      163.500      2435.91      0.17356647   -234.49906467   -234.32549820
       328      164.000      1569.02      0.11179791   -234.49942533   -234.38762741
       329      164.500      1740.68      0.12402904   -234.50032682   -234.37629779
       330      165.000      1876.55      0.13371044   -234.50122721   -234.36751677
       331      165.500      1767.09      0.12591105   -234.49869144   -234.37278039
       332      166.000      1822.87      0.12988520   -234.49838051   -234.36849531
       333      166.500      1888.93      0.13459276   -234.50180472   -234.36721196
       334      167.000      1475.99      0.10516918   -234.49960207   -234.39443289
       335      167.500      1408.60      0.10036722   -234.50122494   -234.40085772
       336      168.000      2074.44      0.14781094   -234.50322168   -234.35541075
       337      168.500      1512.93      0.10780142   -234.50268054   -234.39487912
       338      169.000      1537.54      0.10955491   -234.50015038   -234.39059547
       339      169.500      1517.64      0.10813663   -234.50301531   -234.39487868
       340      170.000      2458.25      0.17515828   -234.50716128   -234.33200299
       341      170.500      2408.22      0.17159360   -234.50422296   -234.33262936
       342      171.000      2173.82      0.15489165   -234.50477533   -234.34988368
       343      171.500      2050.31      0.14609113   -234.50449093   -234.35839980
       344      172.000      2481.07      0.17678404   -234.50186172   -234.32507767
       345      172.500      2880.60      0.20525196   -234.49617397   -234.29092201
       346      173.000      2353.44      0.16768996   -234.50009580   -234.33240584
       347      173.500      1849.79      0.13180388   -234.49849600   -234.36669212
       348      174.000      2380.99      0.16965306   -234.49874073   -234.32908767
       349      174.500      2413.09      0.17194052   -234.49805632   -234.32611580
       350      175.000      1579.72      0.11256014   -234.49436722   -234.38180708
       351      175.500      1895.03      0.13502685   -234.50128254   -234.36625570
       352      176.000      2736.02      0.19495052   -234.49958052   -234.30463000
       353      176.500      2319.04      0.16523905   -234.50182786   -234.33658881
       354      177.000      2048.06      0.14593077   -234.50027824   -234.35434746
       355      177.500      1200.73      0.08555598   -234.49964096   -234.41408498
       356      178.000      2146.72      0.15296096   -234.50177786   -234.34881690
       357      178.500      1753.62      0.12495110   -234.49959266   -234.37464156
       358      179.000      1583.80      0.11285095   -234.50290386   -234.39005291
       359      179.500      1486.67      0.10593041   -234.49794878   -234.39201837
       360      180.000      2062.45      0.14695652   -234.49817496   -234.35121844
       361      180.500      2329.64      0.16599438   -234.50471635   -234.33872196
       362      181.000      2414.47      0.17203904   -234.50237294   -234.33033391
