
================================================================================
                                 MD SIMULATION                                  
================================================================================
Ensemble:        NVE
Timestep:        0.250 fs
Total steps:     4000000
Simulation time: 1000000.00 fs

System:
  Atoms:         30
  Formula:       C8H15N3O4
  Charge:        0
  Multiplicity:  1

================================================================================

WARNING: Pre-existing output files were backed up:
  Backed up existing file: agnve.out -> #agnve.out.1#


       Step         Time(ps)  Progress      T(K)      E_total(Ha)  Speed(ns/day)         ETA
  ---------  ---------------  --------  --------  ---------------  -------------  ----------

Starting NVE simulation...

  Step    32400     8100.00 fs  T  467.72 K  E    -779.074730 Ha
  Step    32500     8125.00 fs  T  405.60 K  E    -779.080870 Ha
  Step    32600     8150.00 fs  T  430.34 K  E    -779.078442 Ha
  Step    32700     8175.00 fs  T  415.52 K  E    -779.079909 Ha
  Step    32800     8200.00 fs  T  276.91 K  E    -779.093639 Ha
  Step    32900     8225.00 fs  T  422.59 K  E    -779.079205 Ha
  Step    33000     8250.00 fs  T  334.63 K  E    -779.087904 Ha
  Step    33100     8275.00 fs  T  334.34 K  E    -779.087921 Ha
  Step    33200     8300.00 fs  T  347.98 K  E    -779.086605 Ha
  Step    33300     8325.00 fs  T  403.13 K  E    -779.081128 Ha
  Step    33400     8350.00 fs  T  391.99 K  E    -779.082229 Ha
  Step    33500     8375.00 fs  T  370.98 K  E    -779.084327 Ha
  Step    33600     8400.00 fs  T  385.78 K  E    -779.082850 Ha
  Step    33700     8425.00 fs  T  385.02 K  E    -779.082910 Ha
  Step    33800     8450.00 fs  T  418.57 K  E    -779.079599 Ha
  Step    33900     8475.00 fs  T  463.47 K  E    -779.075149 Ha
  Step    34000     8500.00 fs  T  408.32 K  E    -779.080604 Ha
  Step    34100     8525.00 fs  T  369.83 K  E    -779.084435 Ha
  Step    34200     8550.00 fs  T  432.78 K  E    -779.078191 Ha
  Step    34300     8575.00 fs  T  374.76 K  E    -779.083939 Ha
  Step    34400     8600.00 fs  T  439.08 K  E    -779.077572 Ha
  Step    34500     8625.00 fs  T  416.56 K  E    -779.079784 Ha
  Step    34600     8650.00 fs  T  361.29 K  E    -779.085257 Ha
  Step    34700     8675.00 fs  T  359.99 K  E    -779.085405 Ha
  Step    34800     8700.00 fs  T  363.53 K  E    -779.085048 Ha
  Step    34900     8725.00 fs  T  374.71 K  E    -779.083919 Ha
  Step    35000     8750.00 fs  T  372.28 K  E    -779.084180 Ha
  Step    35100     8775.00 fs  T  399.82 K  E    -779.081457 Ha
  Step    35200     8800.00 fs  T  438.43 K  E    -779.077614 Ha
  Step    35300     8825.00 fs  T  358.18 K  E    -779.085574 Ha
  Step    35400     8850.00 fs  T  310.26 K  E    -779.090325 Ha
  Step    35500     8875.00 fs  T  392.02 K  E    -779.082227 Ha
  Step    35600     8900.00 fs  T  413.46 K  E    -779.080119 Ha
  Step    35700     8925.00 fs  T  351.70 K  E    -779.086218 Ha
