# MD Simulation - NVE Ensemble
# Timestep: 0.25 fs
#     Step     Time(fs)      Temp(K)          KE(Ha)          PE(Ha)          TE(Ha)
       319       79.750       345.80      0.04763568   -779.13445304   -779.08681736
       320       80.000       345.07      0.04753527   -779.13441603   -779.08688076
       321       80.250       342.28      0.04715130   -779.13429703   -779.08714573
       322       80.500       341.94      0.04710429   -779.13427535   -779.08717106
       323       80.750       347.34      0.04784766   -779.13448258   -779.08663492
       324       81.000       358.84      0.04943202   -779.13493356   -779.08550153
       325       81.250       373.58      0.05146241   -779.13551457   -779.08405216
       326       81.500       386.65      0.05326304   -779.13603128   -779.08276823
       327       81.750       393.07      0.05414817   -779.13628712   -779.08213895
       328       82.000       389.60      0.05366925   -779.13615408   -779.08248483
       329       82.250       375.73      0.05175940   -779.13561314   -779.08385374
       330       82.500       353.91      0.04875359   -779.13475976   -779.08600617
       331       82.750       328.78      0.04529170   -779.13377659   -779.08848489
       332       83.000       305.81      0.04212726   -779.13287891   -779.09075165
       333       83.250       289.56      0.03988874   -779.13224664   -779.09235790
       334       83.500       282.17      0.03887013   -779.13196393   -779.09309380
       335       83.750       282.64      0.03893573   -779.13199150   -779.09305578
       336       84.000       287.39      0.03958947   -779.13218648   -779.09259701
       337       84.250       291.75      0.04019018   -779.13236427   -779.09217408
       338       84.500       292.01      0.04022621   -779.13237750   -779.09215129
       339       84.750       286.95      0.03952944   -779.13217810   -779.09264866
       340       85.000       278.23      0.03832795   -779.13183247   -779.09350452
       341       85.250       269.39      0.03710964   -779.13148210   -779.09437245
       342       85.500       264.04      0.03637267   -779.13127059   -779.09489792
       343       85.750       264.29      0.03640710   -779.13128033   -779.09487324
       344       86.000       270.18      0.03721894   -779.13151167   -779.09429272
       345       86.250       280.16      0.03859416   -779.13190247   -779.09330831
       346       86.500       291.92      0.04021411   -779.13236182   -779.09214772
       347       86.750       303.04      0.04174620   -779.13279593   -779.09104973
       348       87.000       311.42      0.04289938   -779.13312241   -779.09022303
       349       87.250       315.57      0.04347142   -779.13328385   -779.08981243
       350       87.500       315.03      0.04339735   -779.13326133   -779.08986398
       351       87.750       310.50      0.04277301   -779.13308233   -779.09030932
       352       88.000       303.57      0.04181826   -779.13281035   -779.09099209
       353       88.250       296.01      0.04077714   -779.13251586   -779.09173872
       354       88.500       288.94      0.03980355   -779.13224322   -779.09243967
       355       88.750       282.43      0.03890654   -779.13199407   -779.09308753
       356       89.000       275.84      0.03799857   -779.13174128   -779.09374272
       357       89.250       268.72      0.03701762   -779.13146548   -779.09444786
       358       89.500       261.56      0.03603211   -779.13118582   -779.09515371
       359       89.750       255.79      0.03523667   -779.13095924   -779.09572257
       360       90.000       252.78      0.03482197   -779.13084249   -779.09602052
       361       90.250       252.69      0.03480934   -779.13084296   -779.09603363
       362       90.500       253.98      0.03498779   -779.13089942   -779.09591163
       363       90.750       254.21      0.03501838   -779.13091301   -779.09589463
       364       91.000       251.43      0.03463573   -779.13080637   -779.09617064
       365       91.250       245.40      0.03380558   -779.13056972   -779.09676414
       366       91.500       237.70      0.03274490   -779.13026585   -779.09752095
       367       91.750       230.95      0.03181500   -779.12999903   -779.09818403
       368       92.000       227.70      0.03136694   -779.12986970   -779.09850276
       369       92.250       229.52      0.03161759   -779.12993956   -779.09832197
       370       92.500       236.57      0.03258956   -779.13021491   -779.09762535
       371       92.750       247.58      0.03410633   -779.13064576   -779.09653944
       372       93.000       260.05      0.03582371   -779.13113469   -779.09531098
